KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_SSe4Q,<i>Alex?</i>,<i>Alex?</i>,<i>Alex?</i>,<i>Alex?</i>,<i>Alex?</i>,,,,<i>Алекс?</i>,<i>アレックス？</i>,<i>亚历克斯？</i>,,,,,,
dialogue_WaIWW," Yes! That was the name! @p9 Wait! @p9 They talked about a remote planet and a ship waiting somewhere for someone. @p9 Ah ... @w2 before I forget about it: One of them left behind a specially modified drill. I have it at my desk. @w5 I have no use for it, so you should have it, or return it to its owner."," Ja! Das war der Name! @p9 Warte! @p9 Sie sprachen über einen abgelegenen Planeten und ein Schiff das auf jemand wartet. @p9 Ah ... @w2 bevor ich es vergesse: Einer von ihnen ließ einen speziell modifizierten Bohrer zurück. Ich habe ihn unter meinem Tisch. @w5 Ich kann ihn nicht brauchen, also solltest du ihn haben oder ihn zu seinem Besitzer zurückbringen.","Oui! C'était ce nom! @p9 Attendez! @p9 Ils ont parlé d'une planète lointaine et d'un vaisseau attendant quelqu'un quelque part. @p9 Ah ... @w2 avant que j'oublie: l'un d'eux a oublié une foreuse améliorée, ça a l'air spécial.  @w5 Je n'en ai aucune utilité, je peux vous la donner afin de la rendre à son propriétaire ?"," Esatto! Era quello il nome! @p9 Aspetta! @p9 Hanno parlato di un pianeta lontano e di una nave in attesa da qualche parte per qualcuno. @p9 Ah ... @w2 prima che me ne dimentichi: Uno di loro ha dimenticato una trivella modificata, sembra speciale. I have it at my desk. @w5 Non so cosa farmene, quindi credo dovresti prenderla tu, o restituirla al proprietario."," ¡Sí! Ese era el nombre! @p9 ¡Espera! @p9 Hablaron sobre un planeta remoto y una nave esperando a alguien en algún lugar. @p9 Ah ... @w2 antes de olvidarlo: uno de ellos dejó un taladro especialmente modificado. Lo tengo en mi escritorio. @w5 No lo uso, por lo que debería tenerlo o devolverlo a su propietario.",,,," Да! Это имя! @p9 Подождите! @p9 Они говорили о далекой планете и о корабле, где-то кого-то ждут. @p9 Ах ... @w2 пока я не забыл об этом: один из них оставил после себя специально модифицированный бур. Он у меня в столе. @w5 Мне он не нужен, так что вы можете получить его себе или вернуть его владельцу.",そうだ！その名前でした！ @p4 待って！ @p3 彼らは遠く離れた惑星と誰かを待っている船について話していました。 @p5 あー ... @w2 忘れる前に：そのうちの1人が特別に改造されたドリルを残していきました。机に置いてあります。 @w5 使わないから、あなたが持っていくか、持ち主に返してください。,没错！就是这个名字！@p9 等一下！@p9 他们谈到了一个遥远的星球和一艘在某处等待某人的飞船。@p9 啊... @w2 差点忘了: 其中一个人留下来一把特殊定制的钻头。我把它放在桌子里。 @w5 我拿着没用，所以就让你留着吧，或者你可以物归原主。,,,,,,
dialogue_WeOO4," Great to hear! @w3 Relay my greetings when you meet them. @w2 \n\nEnjoy your root beer, my friend.", Großartig zu hören! @w3 Überbring meine Grüße wenn du sie triffst. @w2 \n\nGenieße dein Root Bier mein Freund.,"Ravi de l'entendre! @w3 Transmettez mes salutations lorsque vous les reverrez. @w2 \n\nProfitez bien de votre bière de racine, mon ami."," Great to hear! @w3 Relay my greetings when you meet them. @w2 \n\nEnjoy your root beer, my friend."," ¡Qué bueno escucharlo! @w3 Transmite mis saludos cuando los encuentres. @w2 \n \nDisfruta de tu cerveza de raíz, mi amigo.",,,," Рад слышать! @w3 Передавайте мои приветствия, когда вы их встретите. @w2 \n\nНаслаждайся пивом, мой друг.",それはよかった。@w3 彼らに会ったらよろしくとお伝えください。 @w2 \n\nルートビアを楽しんでください、友よ。,很高兴听到这一消息！@w3 你和他们见面时请传达我的问候。@w2 \n\n请好好请享用您的树根啤酒，我的朋友。,,,,,,
dialogue_iQOWa,<i>Cheers!</i>,<i>Prost!</i>,<i>Merci. Au revoir!</i>,<i>Saluti!</i>,<i>Salud!</i>,,,,<i>Ваше здоровье!!</i>,<i>乾杯！</i>,<i>干杯</i>,,,,,,
dialogue_e8iam,<i>Of course!</i>,<i>Natürlich!</i>,<i>Bien sûr!</i>,<i>Certo!</i>,<i>¡Por Supuesto!</i>,,,,<i>Конечно!</i>,<i>もちろん！</i>,<i>当然！</i>,,,,,,
dialogue_Q2Gm8," Welcome, my dear friend!", Willkommen mein lieber Freund!," Bienvenue, mon cher ami!"," Benvenuto, mio caro amico!"," ¡Bienvenido, querido amigo!",,,," Добро пожаловать, дорогой друг!",ようこそ、親愛なる友よ！,欢迎，我的好朋友！,,,,,,
dialogue_mqqmK,<i>???</i>,<i>???</i>,<i>???</i>,<i>???</i>,<i>???</i>,,,,<i>???</i>,<i>???</i>,<i>？？？</i>,,,,,,
dialogue_q8480, You seem to be surprised to speak to hovering smiley face in front of a terminal? @w4 I am afraid we need to have some ... @w3 security measures in place. \n\n@w3 That's why I'm speaking to you via this remote access terminal.," Du scheinst überrascht zu sein, mit einem schwebenden Smiley vor einem Terminal zu sprechen? @w4 Ich fürchte, wir müssen einige ... @w3 Sicherheitsmaßnahmen anwenden. \n\n@w3 Daher spreche ich mit dir über dieses Fernzugriffsterminal.",Vous semblez surpris de parler à un smiley planant devant un terminal? @w4 Nous sommes obligés de mettre en place des@w3 mesures de sécurité...  \n\n@w3 C'est pourquoi je vous parle via ce terminal d'accès à distance., Sembri sorpreso di parlare con una faccina sorridente davanti su un terminale? @w4 Temo che abbiamo bisogno di qualche ... @w3 misure di sicurezza. \n\n@w3 Ecco perché ti sto parlando tramite questo terminale ad accesso remoto., ¿Parece sorprendido hablar con una carita sonriente flotando frente a una terminal? @w4 Me temo que necesitamos tener algunas ... @w3 medidas de seguridad establecidas. \n \n @w3 Es por eso que te estoy hablando a través de este terminal de acceso remoto.,,,," Кажется, вы удивлены, когда разговариваете с парящим смайликом перед терминалом? @w4 Боюсь, нам нужно немного ... @w3 мер безопасности на месте. \n\n@w3 Вот почему я обращаюсь к вам через этот терминал удаленного доступа.",端末の前でホバリングしている笑顔に話しかけられて驚いているようだが？ @w4 残念だが我々にはいくつかの ... @w3 セキュリティ対策がこの場に必要だ。 \n\n@w3 だからこのリモートアクセス端末を介して話しているのだ。,和一个悬浮在终端前的笑脸说话，您似乎感到有点惊讶？ @w4 这恐怕是由于我们需要采取一些... @w3 加密措施。 \n\n@w3 这就是为什么我会通过此远程访问终端与您交谈。,,,,,,
dialogue_emoCq,<i>Zirax? UCH survivors? Alex?</i>,<i>Zirax? UCH Überlebende? Alex?</i>,<i>Zirax? Des survivants de l'UCH? Alex?</i>,<i>Zirax? Sopravvissuti UCH? Alex?</i>,<i> ¿Zirax? Sobrevivientes de la UCH? Alex? </i>,,,,<i>Зиракс? Выжившие UCH? Алекс?</i>,<i>ジラックス？UCHの生存者？アレックス？</i>,<i>兹瑞克斯？UCH幸存者？亚历克斯？</i>,,,,,,
dialogue_qmiW6," ... @w2 I currently can't relay any of that information, I am afraid. @p9 ... @p9 But let's get started. @w4 The Zirax Scum are always on our heels and the AI protecting our little meeting is already detecting some cyber-espionage patterns trying to break in on our conversation."," ... @w2 Ich kann derzeit leider keine dieser Informationen weitergeben. @p9 ... @p9 Aber lass uns beginnen. @w4 Das Zirax-Gesindel ist uns ständig auf den Fersen und die KI, die unser kleines Treffen bewacht, registriert bereits einige Spionageprogramme die versuchen in unser Gespräch einzubrechen.","... @w2 Je ne peux actuellement valider aucune de ces informations, j'en ai bien peur. @p9 ... @p9 Mais commençons. @w4 Ces racailles de Zirax sont toujours à nos basques et l'IA qui protège notre petite réunion détecte déjà des traces de cyberespionnage qui tentent de pirater notre conversation."," ... @w2 Temo di non poter trasmettere nessuna di queste informazioni al momento. @p9 ... @p9 Ma iniziamo. @w4 La feccia Zirax ci sta sempre alle calcagna e l'IA che protegge questo nostro incontro sta già rilevando alcuni comportamenti tipici del cyberspionaggio, cercano di irrompere nella nostra conversazione."," ... @w2 Actualmente no puedo transmitir ninguna de esa información, me temo. @p9 ... @p9 Pero comencemos. @w4 Los Zirax Scum siempre nos pisan los talones y la IA que protege nuestra pequeña reunión ya está detectando algunos patrones de ciberespionaje que intentan interrumpir nuestra conversación.",,,," ... @w2 Боюсь, что в настоящее время я не могу передать эту информацию. @p9 ... @p9 Но давайте начнем. @w4 Отбросы Зиракс всегда наступает нам на пятки, а ИИ, защищающий нашу маленькую встречу, уже обнаруживает некоторые шаблоны кибершпионажа, пытающиеся вмешаться в наш разговор.",... @w2 現在、その情報を中継することはできない。申し訳ない。 @p6 ... @p4 しかし、始めよう。 @w4 ジラックスのクズどもは常に我々のすぐそばにあり、我々の会合を守るAIは、会話を断とうとしているサイバースパイ活動のパターンをすでに検出している。,... @w2 恐怕目前我无法传达任何信息。@p9 ... @p9 让我们开始吧。 @w4 狗一样的兹瑞克斯人老是追着我们咬，而且保护我们这次会议的AI已经发现了一些正试图破坏我们谈话网络的间谍。,,,,,,
dialogue_4K84F,<i>I'm listening</i>,<i>Ich höre zu</i>,<i>Je vous écoute...</i>,<i>Sto ascoltando</i>,<i> Estoy escuchando </i>,,,,<i>Я слушаю</i>,<i>聴いています</i>,<i>我在听</i>,,,,,,
dialogue_uWCem," First and foremost, I am .. @w2 your contact person, Sectioner32. @w4 On behalf of GLaD, the Galaxy Liberation and Defense organization, I would like to thank you for answering our call. @w6 You won't regret it. @w5 And it will make the galaxy a better place!"," Zuerst, an vorderster Stelle, Ich bin .. @w2 deine Kontaktperson, Abteilungsleiter 32. @w4 Im Auftrag des GLaD, der Galaxy Liberation and Defense organization, möchte ich dir dafür danken, dass du unserem Aufruf gefolgt bist. @w6 Du wirst es nicht bereuen. @w5 Und es wird aus der Galaxis einen besseren Ort machen!","D'abord et avant tout, je suis .. @w2 votre interlocuteur, Sectioner32. @w4 Au nom du GLaD, le front de libération et de défense galactique, je tiens à vous remercier d'avoir répondu à notre appel. @w6 Vous ne le regretterez pas. @w5 Et ça rendra la galaxie plus sûre!"," Prima di tutto, sono ... @w2 il tuo referente, Sectioner32. @w4 A nome di GLaD, l'organizzazione per la liberazione e la difesa della galassia, vorrei ringraziarti per aver risposto alla nostra chiamata. @w6 Non ve ne pentirete. @w5 Renderemo la galassia un posto migliore!"," Ante todo, soy .. @w2 su persona de contacto, Seccion32. @w4 En nombre de GLaD, la organización Galaxy Liberation and Defense, me gustaría agradecerle por responder a nuestra llamada. @w6 No te arrepentirás. @w5 ¡Y hará de la galaxia un lugar mejor!",,,," В первую очередь, я .. @w2 ваше контактное лицо, Sectioner32. @w4 От имени GLaD, организации Galaxy Liberation and Defense, я хотел бы поблагодарить вас за ответ на наш призыв. @w6 Вы не пожалеете. @w5 И это сделает галактику лучше!",何よりもまず、私は .. @w2 あなたの連絡担当者、セクショナー32だ。 @w4 銀河解放防衛組織(Galaxy Liberation and Defense) GLaDを代表して、我々の呼びかけに出てくれたことに感謝する。 @w6 あなたはそれを後悔しないだろう。 @w5 そしてそれは銀河をより良い場所にするだろう！,首先，我是.. @w2 你的联络人，节点32。@w4 我将代表格莱德集团（GLaD），银河系解放和防御组织，感谢你接听我们的电话。@w6 我保证你不会后悔的。@w5 我们将使银河系变得更好！,,,,,,
dialogue_GaemS,<i>And that means?</i>,<i>Und das bedeutet?</i>,<i>Mais encore?</i>,<i>E questo significa..?</i>,<i> ¿Y eso significa? </i>,,,,<i>И это значит?</i>,<i>それはつまり？</i>,<i>这意味着什么？</i>,,,,,,
dialogue_iSeSW," First, we would like to send you on a simple and well-paying mission: @w2 Go to a Polaris Mining Facility and investigate. @p9 Your suit AI has just being sent the mission package. @w5 It will be decrypted step by step and reveal all necessary info. @w5 \n\nPlease come back here, when the mission is completed."," Als Erstes möchten wir dich auf eine einfache und gut bezahlte Mission schicken: @w2 Geh zu einer Polaris Bergbauanlage und ermittle dort. @p9 Das Missionspaket wurden gerade an deine Anzug-KI gesendet. @w5 Es wird Schritt für Schritt enschlüsselt und enthält alle notwendigen Informationen. @w5 \n\nBitte komm hierher zurück, wenn die Misson abgeschlossen ist.","Tout d'abord, nous aimerions vous envoyer sur une mission simple et bien rémunérée: @w2 une enquête dans une installation minière de Polaris. @p9 Les données de la mission viennent d'être envoyées à l'IA de votre armure. @w5 Elles seront décryptées étape par étape et révélerons toutes les informations nécessaires. @w5 \n\nRevenez ici lorsque la mission sera terminée."," Per prima cosa, vorremmo inviarti in una missione semplice e ben pagata: @w2 Raggiungi uno degli Impianti Minerari Polaris e indaga. @p9 L'IA della tua tuta riceverà i dati della missione. @w5 Saranno decifrato passo dopo passo e ti verrano rivelate tutte le informazioni necessarie. @w5 \n\nPer favore, torna qui, a missione completata."," Primero, nos gustaría enviarlo a una misión simple y bien pagada: @w2 Vaya a una Instalación Minera Polaris e investigue. @p9 Su traje AI acaba de recibir el paquete de misión. @w5 Se descifrará paso a paso y revelará toda la información necesaria. @w5 \n \nVuelve aquí, cuando se complete la misión.",,,," Во-первых, мы хотели бы отправить вас с простой и хорошо оплачиваемой миссией: @w2 Отправляйтесь на Горно-добывающую фабрику Полярис и исследуйте ее. @p9 ИИ вашего костюма только что получил пакет с миссией. @w5 Он будет шаг за шагом расшифрован и покажет всю необходимую информацию. @w5 \n\nПожалуйста, вернись сюда, когда миссия будет завершена.",まず、あなたをシンプルで高給なミッションに送りたいと思っている： @w2 ポラリスの採掘施設へ行き、調査してくれ。 @p5 スーツのAIがミッションパッケージを送ってきた。 @w5 段階的に復号化され、必要なすべての情報が明らかにされる。 @w5 \n\n任務が完了したらここに戻ってきてくれ。,首先，我们想给你提供一个简单且酬劳丰厚的任务: @w2 前往极星采矿设施进行调查。@p9 你的护甲AI刚刚接收了任务包。 @w5 它会逐步解密任务包并显示所有必要的信息。 @w5 \n\n请在任务完成后返回此处。,,,,,,
dialogue_qCOK4,<i>Interesting but also risky?</i>,"<i>Interessant, aber auch riskant?</i>","<i>Intéressant, c'est risqué?</i>",<i>Interessante ma anche rischioso?</i>,<i> Interesante pero también arriesgado? </i>,,,,"<i>Интересно, но и рискованно?</i>",<i>面白そうだがリスクもあるのか？</i>,<i>有点意思，但是不是风险很高？</i>,,,,,,
dialogue_aK8Ou," Nothing to worry about. @w5 Just a little surveillance task. \n\nTake care, my friend!"," Nichts, worüber man sich Sorgen machen müsste. @w5 Nur eine kleine Überwachungsaufgabe. \n\nPass auf dich auf, mein Freund!","Rien d'inquiétant. @w5 Juste une petite tâche de surveillance. \n\nFaites quand même attention, mon ami!"," Nulla di cui preoccuparsi. @w5 Solo una piccola missione di sorveglianza. \n\nAbbi cura di te, amico mio!"," Nada de qué preocuparse. @w5 Solo una pequeña tarea de vigilancia. \n \n¡Ten cuidado, amigo!",,,," Ничего страшного. @w5 Просто небольшое наблюдение. \n\nБереги себя, друг мой!",心配することはない。 @w5 ちょっとした款識の仕事だ。 \n\n 気をつけて、友よ！,不用担心。@w5 只是一个探查任务。\n\n保重，我的朋友！,,,,,,
dialogue_uKWKS,<i>End communication</i>,<i>Ende der Kommunikation</i>,<i>Fin de communication</i>,<i>Termina comunicazione</i>,<i> Fin de la comunicación </i>,,,,<i>Конец связи</i>,<i>会話を終える</i>,<i>结束对话</i>,,,,,,
dialogue_mGi4C, Welcome! @w2 I hope you had a good flight! @w3 Those Zirax patrols are annoying. \n\n@w3 Hope you didn't have any trouble with them?," Willkommen! @w2 Ich hoffe, du hattest einen guten Flug! @w3 Diese Ziraxpatrouillen sind nervtötend. \n\n@w3 Hoffe du hattest keinen Ärger mit ihnen?",Bienvenue! @w2 J'espère que vous avez fait un bon vol! @w3 Ces patrouilles Zirax sont ennuyeuses. \n\n@w3 J'espère que vous n'avez eu aucun problème avec eux?, Benvenuto! @w2 Mi auguro abbia fatto un buon viaggio! @w3 Queste pattuglie Zirax sono veramente seccanti. \n\n@w3 Spero non le abbiano creato problemi., ¡Bienvenido! @w2 ¡Espero que hayas tenido un buen vuelo! @w3 Esas patrullas de Zirax son molestas. \n \n @w3 ¿Espero que no hayas tenido ningún problema con ellos?,,,," Добро пожаловать! @w2 Надеюсь, у вас был хороший полет! @w3 Эти патрули Зиракса раздражают. \n\n@w3 Надеюсь, у тебя с ними не было проблем?",ようこそ！ @w2 良いフライトでしたね！ @w3 これらジラックスのパトロールは迷惑です。 \n\n@w3 彼らとのトラブルがなかったらいいですのですが？,欢迎！@w2 希望你飞行愉快！@w3 那些兹瑞克斯巡逻队真烦人。 \n\n@w3 你应该没有惹上麻烦吧？,,,,,,
dialogue_CWmqW,<i>No more than usual</i>,<i>Nicht mehr als üblich</i>,<i>Pas plus que d'habitude</i>,<i>Non più del solito</i>,<i> No más de lo habitual </i>,,,,"<i>Не больше, чем обычно</i>",<i>いつも以上に</i>,<i>没比平时多</i>,,,,,,
dialogue_SiS0W," Ah, good. @w2 Well .. @w2 Headquarters said they would send an inspector sometime soon. @w5 But .. @w2 hm .. you must have been already underway, right?"," Ah, gut. @w2 Also .. @w2 Das Hauptquartier sagte, sie würden demnächst einen Inspekteur schicken. @w5 Aber .. @w2 hm .. du musst schon unterwegs gewesen sein, richig?","Bon. @w2 Eh bien .. @w2 Le siège nous a dit qu'ils enverraient bientôt un inspecteur. @w5 Mais .. @w2 hm .. vous devez avoir déjà commencé, apparemment?"," Ah, bene. @w2 Dunque ... @w2 Il quartier generale diceva che sarebbe arrivato un ispettore. @w5 Ma ... @w2 mmm... suppongo fossi già in viaggio, giusto?"," Ah, bien. @w2 Bueno ... @w2 La sede dijo que enviarían un inspector pronto. @w5 Pero ... @w2 hm ... debes haber estado en marcha, ¿verdad?",,,," А, хорошо. @w2 Хорошо .. @w2 В штабе сказали, что в ближайшее время пришлют инспектора. @w5 Но .. @w2 хм .. вы, должно быть, уже в пути, верно?",ああ、よかった。 @w2 まあ.. @w2 本部は、近いうちに検査官を派遣すると言っていた。 @w5しかし.. @w2 うーん .. あなたはすでに進行中だった、だろう？,啊，很好。 @w2 好吧 .. @w2 总部说他们会派一个检查员。 @w5 但是..@w2 嗯..您一定已经在工作中了， 对吗？,,,,,,
dialogue_S0uB0,<i>I am always underway in some way.</i>,<i>Ich bin irgendwie immer unterwegs.</i>,"<i>Oui, comme vous pouvez le voir..</i>",<i>Sono sempre in viaggio in qualche modo.</i>,<i> Siempre estoy en camino de alguna manera. </i>,,,,<i>Я всегда в пути.</i>,<i>私はいつも何かしらの形で進行中です。</i>,<i>我总是在工作中。</i>,,,,,,
dialogue_8W8Qa," Of course ... @w2 Ah ... @w2 Sorry ... @p9 Please excuse me, I'm a bit nervious. @w3 We are ALL a bit anxious over here, since we found that ... @w2 item ... @w2 down there. @w4 Of course, we didn't tell anyone outside this facility."," Natürlich ... @w2 Ah ... @w2 Tut mir leid ... @p9 Bitte entschuldige, Ich bin ein wenig nervös. @w3 Wir sind ALLE ein bißchen besorgt hier, seit wir diesen ... @w2 Gegenstand ... @w2 dort unten gefunden haben. @w4 Natürlich haben wir es niemandem außerhalb der Anlage gesagt.","Bien sûr ... @w2 Ah ... @w2 Désolé ... @p9 Veuillez m'excuser, je suis un peu nerveux. @w3 Nous sommes tous un peu anxieux ici depuis que nous avons trouvé cet ... @w2 objet ... @w2 là-bas. @w4 Bien sûr, nous n'en avons parlé à personne en dehors de cet établissement."," Certamente ... @w2 Ah ... @w2 Mi Scusi ... @p9 La prego di scusarmi, sono un po' nervoso. @w3 Siamo TUTTI un po' agitati, da quando abbiamo trovato ... @w2 quell'oggetto ... @w2 là sotto. @w4 Ovviamente nessuno al di fuori della struttura ne è al corrente."," Por supuesto ... @w2 Ah ... @w2 Lo siento ... @p9 Disculpe, estoy un poco nervioso. @w3 TODOS estamos un poco ansiosos por aquí, ya que encontramos que ... @w2 cosas @w2 ... @w2 allá abajo. @w4 Por supuesto, no le dijimos a nadie fuera de esta instalación.",,,," Конечно ... @w2 Ох ... @w2 Простите ... @p9 Пожалуйста, извините, я немного нервничаю. @w3 Мы ВСЕ здесь немного обеспокоены, так как мы обнаружили, что ... @w2 предмет ... @w2 там внизу. @w4 Конечно, мы никому не говорили про это за пределами этого учреждения.",もちろん ... @w2 あー ... @w2 すまない ... @p4 失礼、少々苛立っている。 @w3 我々は皆、少々不安になっている ... @w2 アイテムを見つけたので ... @w2 地下で。 @w4 もちろん、この施設の外には誰にも言っていない。,当然... @w2 啊... @w2 对不起... @p9 请原谅，我有点紧张。 @w3 在这儿大家都有点紧张， 因为我们发现了..@w2 下面的… @w2 某些东西.. @w4 当然，我们没有告诉设施外的任何人。,,,,,,
dialogue_MrK80,<i>Working with professionals</i>,<i>Arbeiten mit Profis</i>,<i>Je vois que vous êtes très professionnel</i>,<i>Vedo che lavorate con professionalità</i>,<i> Trabajando con profesionales </i>,,,,<i>Работа с профессионалами</i>,<i>専門家との連携</i>,<i>你应该和专业人士合作</i>,,,,,,
dialogue_CuaOa," Er, thanks! @w2 Hehe ... @w2 ahem ... @w2 I mean ..."," Äh, danke! @w2 Hehe ... @w2 ahem ... @w2 Ich meine ...","Euh, merci! @w2 Hé bien... @w2 ahem ... @w2 Je veux dire ..."," Ehm, la ringrazio! @w2 Hehe ... @w2 ahem ... @w2 Voglio dire ..."," Er, gracias! @w2 Jeje ... @w2 ejem ... @w2 quiero decir ...",,,," Э, спасибо! @w2 Хехе ... @w2 кхм ... @w2 Я имею в виду ...",えー、ありがとう！ @w2 へへへ... @w2 エヘン... @w2 つまり...,额，谢谢！@w2 呵呵... @w2 嗯... @w2 我的意思是...,,,,,,
dialogue_3CiJS,<i>Details please!</i>,<i>Details bitte!</i>,"<i>Oui, je vous écoute..</i>",<i>Dettagli prego!</i>,<i> ¡Detalles por favor! </i>,,,,<i>Подробности пожалуйста!</i>,<i>詳細を頼む！</i>,<i>请告诉我详细信息！</i>,,,,,,
dialogue_Wu08i," Yes. Yes, of course! @p9 So the foreman of yesterday's shift reported that something strange has been found right when they broke the first rocks of this new promethium vein. @w7 He said it was some kind of a stick, wrapped in cloth and made from of a never-before-seen material. @p9 I first thought they were having a joke at my expense ... @w2 as usual ... @w2 but the first analysis indicated the item they found is extremely old and it seems to contain a power source. @p9 So, in order to to prevent disturbing something, I stopped all work on that mine and informed headquarters, following the new guidelines for reporting archeological discoveries. @p9 All of the crew, except the managers have been sent home for the time being."," Ja ja, natürlich! @p9 Also, der Vorarbeiter der gestrigen Schicht berichtete, dass etwas Seltsames gefunden wurde, gerade als sie die ersten Brocken aus dieser neuen Promethiumader gebrochen hatten. @w7 Er sprach von einer Art Stange, in Tücher gewickelt und aus einem Material, das noch nie jemand gesehen hat. @p9 Zuerst dachte ich, sie machen sich einen Spaß auf meine Kosten ... @w2 wie üblich ... @w2 aber die ersten Analysen deuten darauf hin, dass dieser Gegenstand extrem alt ist und scheinbar eine Energiequelle enthält. @p9 Um also zu verhindern, dass etwas gestört wird, habe ich die Arbeiten in dieser Mine gestoppt und das Hauptquartier informiert, gemäß den neuen Richtlinien für Berichte über archäologische Entdeckungen. @p9 Die gesamte Mannschaft, außer die Manager, wurde bis auf weiteres nach Hause geschickt.","Oui. Oui bien sûr! @p9 Donc, hier le contremaître a rapporté quelque chose d'étrange qui a été trouvé juste au moment où ils ont foré les premières roches de cette nouvelle veine de prométhium. @w7 Il a précisé que c'était une sorte de bâton, enveloppé dans un tissu et fait d'un matériau jamais vu auparavant. @p9 J'ai d'abord pensé qu'ils me faisaient une blague ... @w2 comme d'habitude ... @w2 mais la première analyse a indiqué que cet objet était extrêmement vieux et qu'il semble contenir une source d'énergie. @p9 Donc, avant de reprendre les travaux sur cette mine, j'ai informé le siège de la compagnie, en suivant les nouvelles directives concernant le compte rendu des découvertes archéologiques. @p9 Tous les membres de l'équipe, excepté la direction, ont été renvoyés chez eux pour le moment.",," Sí. ¡Sí, por supuesto! @p9 Entonces, el capataz del turno de ayer informó que se encontró algo extraño justo cuando rompieron las primeras rocas de esta nueva vena de prometio. @w7 Dijo que era una especie de palo, envuelto en tela y hecho de un material nunca antes visto. @p9 Primero pensé que estaban bromeando a costa mio ... @w2 como de costumbre ... @w2 pero el primer análisis indicó que el elemento que encontraron es extremadamente antiguo y parece contener una fuente de energía. @p9 Entonces, para evitar perturbar algo, detuve todo el trabajo en esa mina e informé a la sede, siguiendo las nuevas pautas para informar descubrimientos arqueológicos. @p9 Toda la tripulación, excepto los gerentes, han sido enviados a casa por el momento.",,,," Да. Да, конечно! @p9 Итак, бригадир вчерашней смены сообщил, что что-то странное было обнаружено прямо тогда, когда они разбили первые породы этой новой жилы прометия. @w7 Он сказал, что это какая-то палка, завернутая в ткань и сделанная из невиданного ранее материала. @p9 Сначала я подумал, что они шутят надо мной ... @w2 по-прежнему ... @w2 но первый анализ показал, что найденный ими предмет очень старый и, похоже, содержит источник энергии. @p9 Итак, чтобы что-то не беспокоить, я остановил все работы на этой шахте и проинформировал штаб, следуя новым правилам сообщения об археологических открытиях. @p9 Весь экипаж, кроме менеджеров, на данный момент отправлен домой.",はい、はい、もちろん！ @p9 それで、昨日のシフトの責任者は、彼らがこの新しいプロメチウム静脈の最初の岩を壊したときに何か奇妙なことが発見されたと報告しました。 @w7 彼は、それはある種の棒で、布で包まれ、これまでに見たことのない素材でできていると言いました。 @p9 私は彼らが私の費用で冗談を言っていると最初に思った ... @w2 いつものように ... @w2 しかし最初の分析は彼らが見つけたアイテムが非常に古く、電源が含まれているようだと示した。 @p9 それで、何かを邪魔するのを防ぐために、私はその鉱山でのすべての作業を停止し、考古学的発見を報告するための新しいガイドラインに従って本部に通知しました。 @p9 マネージャーを除くすべてのクルーは、当分の間帰宅させました。,是的。对，绝对不会错！@p9 昨天轮班的领班报告说，当他们打碎这个新的钷矿脉的第一块岩石时，发现了一些奇怪的东西。他说这是一种棍子，外面裹着布，用从未见过的材料制成。@p9 我开始以为他们又拿我的钱开玩笑... @w2 就像平常一样... @w2 初次分析表明，他们发现的物品非常陈旧，似乎有能量源。@p9 所以，为了不破坏某些东西，我遵循了报告考古发现的新规定，停止了对该矿的任何工作，并通知了总部。 @p9 所有船员，除了管理员，其他人暂时都被送回家了。,,,,,,
dialogue_Ouw4S,<i>May I speak to the shift manager?</i>,<i>Darf ich mit dem Schichtleiter sprechen?</i>,<i>Puis-je parler au Chef d'équipe?</i>,,<i> ¿Puedo hablar con el encargado de turno? </i>,,,,<i>Могу я поговорить с начальником смены?</i>,<i>シフトマネージャーと話してもいいか？</i>,<i>我能和运输经理讲话吗？</i>,,,,,,
dialogue_a8Kau," Of course! @w3 I am currently busy with writing this report anyway. @w5 It should be ready when you leave. @w4 \n\nMeanwhile, the station is at your disposal."," Natürlich! @w3 Ich bin derzeit sowieso damit beschäftigt, diesen Bericht zu schreiben. @w5 Er sollte fertig sein, wenn du gehst. @w4 \n\nIn der Zwischenzeit steht die Station zu deiner Verfügung.","Bien sûr! @w3 Je suis actuellement occupé à rédiger ce rapport de toute façon. @w5 Il doit être à son bureau au-dessus. @w4 \n\nEn attendant, la station est à votre disposition."," Naturalmente! @w3 In ogni caso, sl momento sono occupato a scrivere questo rapporto. @w5 Dovrebbe essere pronto per quando se ne andrà. @w4 \n\nNel frattempo, la stazione è a sua disposizione."," ¡Por supuesto! @w3 Actualmente estoy ocupado escribiendo este informe de todos modos. @w5 Debería estar listo cuando te vayas. @w4 \n \nMientras tanto, la estación está a su disposición.",,,," Конечно! @w3 Я все равно сейчас занят написанием этого отчета. @w5 Он должен быть готов, когда вы уедете. @w4 \n\nМежду тем станция в вашем распоряжении.",もちろんです！ @w3 とにかく私は現在このレポートを書くのに忙しい。 @w5 あなたが帰る頃には出来上がっているはずだ。 @w4 \n\n その間、ステーションは自由にどうぞ。,当然！@w3 我目前正忙于撰写报告。@w5 你要走的时候应该就·写好了。@w4 \n\n另外，这个空间站现在归你管了。,,,,,,
